,N,P,time
1427,280,1.0,0.402907133102417
1428,290,0.05,0.029357194900512695
1429,290,0.1,0.05118894577026367
1430,290,0.3,0.14371609687805176
1431,290,0.5,0.22217011451721191
1432,290,0.7,0.3080155849456787
1433,290,0.9,0.40027880668640137
1434,290,1.0,0.42639780044555664
1435,300,0.05,0.03114151954650879
1436,300,0.1,0.05701184272766113
1437,300,0.3,0.1555473804473877
1438,300,0.5,0.25269460678100586
1439,300,0.7,0.3348066806793213
1440,300,0.9,0.4320693016052246
1441,300,1.0,0.4710574150085449
1442,310,0.05,0.033869028091430664
1443,310,0.1,0.0616145133972168
1444,310,0.3,0.16667747497558594
1445,310,0.5,0.2701606750488281
1446,310,0.7,0.36061978340148926
1447,310,0.9,0.7241904735565186
1448,310,1.0,0.5012173652648926
1449,320,0.05,0.0349736213684082
1450,320,0.1,0.06312394142150879
1451,320,0.3,0.17442965507507324
1452,320,0.5,0.2899188995361328
1453,320,0.7,0.399855375289917
1454,320,0.9,0.5022268295288086
1455,320,1.0,0.525810718536377
1456,330,0.05,0.03871965408325195
1457,330,0.1,0.0704641342163086
1458,330,0.3,0.18195271492004395
1459,330,0.5,0.3030710220336914
1460,330,0.7,0.41985249519348145
1461,330,0.9,0.5304288864135742
1462,330,1.0,0.5350267887115479
1463,340,0.05,0.03605318069458008
1464,340,0.1,0.06580638885498047
1465,340,0.3,0.1873323917388916
1466,340,0.5,0.2985508441925049
1467,340,0.7,0.4258158206939697
1468,340,0.9,0.5304286479949951
1469,340,1.0,0.5641214847564697
1470,350,0.05,0.039200782775878906
1471,350,0.1,0.07124567031860352
1472,350,0.3,0.19568085670471191
1473,350,0.5,0.31999993324279785
1474,350,0.7,0.44179749488830566
1475,350,0.9,0.5664677619934082
1476,350,1.0,0.6300652027130127
1477,360,0.05,0.03958845138549805
1478,360,0.1,0.07349538803100586
1479,360,0.3,0.20547986030578613
1480,360,0.5,0.3358798027038574
1481,360,0.7,0.46579575538635254
1482,360,0.9,0.5908908843994141
1483,360,1.0,0.6275053024291992
1484,370,0.05,0.0439760684967041
1485,370,0.1,0.07985544204711914
1486,370,0.3,0.221954345703125
1487,370,0.5,0.3619980812072754
1488,370,0.7,0.4969356060028076
1489,370,0.9,0.6259512901306152
1490,370,1.0,0.6634607315063477
1491,380,0.05,0.04731440544128418
1492,380,0.1,0.07943129539489746
1493,380,0.3,0.23496389389038086
1494,380,0.5,0.37883663177490234
1495,380,0.7,0.5206868648529053
1496,380,0.9,0.6577293872833252
1497,380,1.0,0.6868202686309814
1498,390,0.05,0.04530930519104004
1499,390,0.1,0.08781814575195312
1500,390,0.3,0.24284911155700684
1501,390,0.5,0.42646336555480957
1502,390,0.7,0.5607337951660156
1503,390,0.9,0.7096290588378906
1504,390,1.0,0.7671184539794922
1505,400,0.05,0.05058622360229492
1506,400,0.1,0.0933225154876709
1507,400,0.3,0.2707335948944092
1508,400,0.5,0.4746057987213135
1509,400,0.7,0.6107349395751953
1510,400,0.9,0.7934455871582031
1511,400,1.0,0.8108205795288086
1512,410,0.05,0.0539402961730957
1513,410,0.1,0.09685087203979492
1514,410,0.3,0.27241969108581543
